Type,Name,Component,Amount
Frigate,Griffin,Griffin Blueprint,1
Frigate,Griffin,Tritanium,38634
Frigate,Griffin,Pyerite,9642
Frigate,Griffin,Mexallon,3519
Frigate,Griffin,Lustering Alloy,701
Frigate,Griffin,Gleaming Alloy,706
Frigate,Griffin,Motley Compound,706
Frigate,Griffin,Base Metals,211
Frigate,Griffin,Noble Metals,800
Frigate,Bantam,Bantam Blueprint,1
Frigate,Bantam,Tritanium,162785
Frigate,Bantam,Pyerite,45857
Frigate,Bantam,Mexallon,13226
Frigate,Bantam,Isogen,1979
Frigate,Bantam,Lustering Alloy,952
Frigate,Bantam,Gleaming Alloy,958
Frigate,Bantam,Motley Compound,958
Frigate,Bantam,Base Metals,286
Frigate,Bantam,Noble Metals,1086
Frigate,Bantam II,Bantam II Blueprint,1
Frigate,Bantam II,Tritanium,567139
Frigate,Bantam II,Pyerite,160753
Frigate,Bantam II,Mexallon,50387
Frigate,Bantam II,Isogen,8615
Frigate,Bantam II,Nocxium,2052
Frigate,Bantam II,Lustering Alloy,3064
Frigate,Bantam II,Gleaming Alloy,3084
Frigate,Bantam II,Fiber Composite,3494
Frigate,Bantam II,Reactive Metals,869
Frigate,Bantam II,Noble Metals,3494
Frigate,Condor II,Condor II Blueprint,1
Frigate,Condor II,Tritanium,38195
Frigate,Condor II,Pyerite,9533
Frigate,Condor II,Mexallon,3479
Frigate,Condor II,Lustering Alloy,693
Frigate,Condor II,Gleaming Alloy,698
Frigate,Condor II,Motley Compound,698
Frigate,Condor II,Base Metals,208
Frigate,Condor II,Noble Metals,791
Frigate,Condor Interceptor,Condor Interceptor Blueprint,1
Frigate,Condor Interceptor,Tritanium,1645247
Frigate,Condor Interceptor,Pyerite,569344
Frigate,Condor Interceptor,Mexallon,155976
Frigate,Condor Interceptor,Isogen,25665
Frigate,Condor Interceptor,Nocxium,7209
Frigate,Condor Interceptor,Zydrine,2965
Frigate,Condor Interceptor,Megacyte,1208
Frigate,Condor Interceptor,Gleaming Alloy,4428
Frigate,Condor Interceptor,Precious Alloy,3932
Frigate,Condor Interceptor,Fiber Composite,5017
Frigate,Condor Interceptor,Reactive Metals,1248
Frigate,Condor Interceptor,Noble Metals,5017
Frigate,Condor II Interceptor,Condor II Interceptor Blueprint,1
Frigate,Condor II Interceptor,Tritanium,6616157
Frigate,Condor II Interceptor,Pyerite,1619490
Frigate,Condor II Interceptor,Mexallon,625053
Frigate,Condor II Interceptor,Isogen,120316
Frigate,Condor II Interceptor,Nocxium,34805
Frigate,Condor II Interceptor,Zydrine,10379
Frigate,Condor II Interceptor,Megacyte,5203
Frigate,Condor II Interceptor,Gleaming Alloy,15875
Frigate,Condor II Interceptor,Precious Alloy,14094
Frigate,Condor II Interceptor,Fiber Composite,17987
Frigate,Condor II Interceptor,Reactive Metals,4473
Frigate,Condor II Interceptor,Noble Metals,17987
Frigate,Merlin Assault,Merlin Assault Blueprint,1
Frigate,Merlin Assault,Tritanium,1332759
Frigate,Merlin Assault,Pyerite,339920
Frigate,Merlin Assault,Mexallon,112371
Frigate,Merlin Assault,Isogen,17468
Frigate,Merlin Assault,Nocxium,4755
Frigate,Merlin Assault,Zydrine,1679
Frigate,Merlin Assault,Gleaming Alloy,3975
Frigate,Merlin Assault,Precious Alloy,3530
Frigate,Merlin Assault,Fiber Composite,4504
Frigate,Merlin Assault,Reactive Metals,1120
Frigate,Merlin Assault,Noble Metals,4504
Frigate,Manticore,Manticore Blueprint,1
Frigate,Manticore,Tritanium,584551
Frigate,Manticore,Pyerite,165689
Frigate,Manticore,Mexallon,51934
Frigate,Manticore,Isogen,8880
Frigate,Manticore,Nocxium,2115
Frigate,Manticore,Lustering Alloy,3158
Frigate,Manticore,Gleaming Alloy,3179
Frigate,Manticore,Fiber Composite,3601
Frigate,Manticore,Reactive Metals,896
Frigate,Manticore,Noble Metals,3601
Frigate,Manticore II,Manticore II Blueprint,1
Frigate,Manticore II,Tritanium,2788068
Frigate,Manticore II,Pyerite,797378
Frigate,Manticore II,Mexallon,284014
Frigate,Manticore II,Isogen,45989
Frigate,Manticore II,Nocxium,14281
Frigate,Manticore II,Zydrine,4218
Frigate,Manticore II,Megacyte,2035
Frigate,Manticore II,Gleaming Alloy,11457
Frigate,Manticore II,Precious Alloy,10172
Frigate,Manticore II,Fiber Composite,12981
Frigate,Manticore II,Reactive Metals,3228
Frigate,Manticore II,Noble Metals,12981
Frigate,Heron Covert Ops,Heron Covert Ops Blueprint,1
Frigate,Heron Covert Ops,Tritanium,187931
Frigate,Heron Covert Ops,Pyerite,52941
Frigate,Heron Covert Ops,Mexallon,15270
Frigate,Heron Covert Ops,Isogen,2284
Frigate,Heron Covert Ops,Lustering Alloy,1099
Frigate,Heron Covert Ops,Gleaming Alloy,1106
Frigate,Heron Covert Ops,Motley Compound,1106
Frigate,Heron Covert Ops,Base Metals,330
Frigate,Heron Covert Ops,Noble Metals,1253
Frigate,Vigil,Vigil Blueprint,1
Frigate,Vigil,Tritanium,40779
Frigate,Vigil,Pyerite,8243
Frigate,Vigil,Mexallon,3321
Frigate,Vigil,Lustering Alloy,725
Frigate,Vigil,Gleaming Alloy,729
Frigate,Vigil,Motley Compound,729
Frigate,Vigil,Base Metals,218
Frigate,Vigil,Noble Metals,826
Frigate,Burst,Burst Blueprint,1
Frigate,Burst,Tritanium,162723
Frigate,Burst,Pyerite,37124
Frigate,Burst,Mexallon,11823
Frigate,Burst,Isogen,2296
Frigate,Burst,Lustering Alloy,932
Frigate,Burst,Gleaming Alloy,938
Frigate,Burst,Motley Compound,938
Frigate,Burst,Base Metals,280
Frigate,Burst,Noble Metals,1062
Frigate,Burst II,Burst II Blueprint,1
Frigate,Burst II,Tritanium,575596
Frigate,Burst II,Pyerite,132129
Frigate,Burst II,Mexallon,45730
Frigate,Burst II,Isogen,10148
Frigate,Burst II,Nocxium,2572
